"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","China","26.8154","106.8748","2","2","2","2","2","2","2","2","2","26.8154,106.8748"
"-","China","19.1959","109.7453","6","6","6","6","6","6","6","6","6","19.1959,109.7453"
"-","China","39.549","116.1306","6","6","6","6","6","6","6","6","6","39.549,116.1306"
"-","China","47.861999999999995","127.7615","13","13","13","13","13","13","13","13","13","47.861999999999995,127.7615"
"-","China","37.8957","114.9042","22","22","22","22","22","22","22","22","22","37.8957,114.9042"
"-","China","22.3","114.2","98","99","99","99","99","100","100","101","101","22.3,114.2"
"-","China","30.9756","112.2707","4512","4512","4512","4512","4512","4512","4512","4512","4512","30.9756,112.2707"
"-","China","27.6104","111.7088","4","4","4","4","4","4","4","4","4","27.6104,111.7088"
"-","China","44.0935","113.9448","1","1","1","1","1","1","1","1","1","44.0935,113.9448"
"-","China","32.9711","119.455","0","0","0","0","0","0","0","0","0","32.9711,119.455"
"-","China","27.614","115.7221","1","1","1","1","1","1","1","1","1","27.614,115.7221"
"-","China","43.6661","126.1923","2","2","2","2","2","2","2","2","2","43.6661,126.1923"
"-","China","41.2956","122.6085","2","2","2","2","2","2","2","2","2","41.2956,122.6085"
"-","China","22.1667","113.55","0","0","0","0","0","0","0","0","0","22.1667,113.55"
"-","China","37.2692","106.1655","0","0","0","0","0","0","0","0","0","37.2692,106.1655"
"-","China","35.7452","95.9956","0","0","0","0","0","0","0","0","0","35.7452,95.9956"
"-","China","35.1917","108.8701","3","3","3","3","3","3","3","3","3","35.1917,108.8701"
"-","China","36.3427","118.1498","7","7","7","7","7","7","7","7","7","36.3427,118.1498"
"-","China","31.201999999999998","121.4491","7","7","7","7","7","7","7","7","7","31.201999999999998,121.4491"
"-","China","37.5777","112.2922","0","0","0","0","0","0","0","0","0","37.5777,112.2922"
"-","China","30.6171","102.7103","3","3","3","3","3","3","3","3","3","30.6171,102.7103"
"-","China","39.3054","117.323","3","3","3","3","3","3","3","3","3","39.3054,117.323"
"-","China","31.6927","88.0924","0","0","0","0","0","0","0","0","0","31.6927,88.0924"
"-","China","41.1129","85.2401","3","3","3","3","3","3","3","3","3","41.1129,85.2401"
"-","China","24.974","101.48700000000001","2","2","2","2","2","2","2","2","2","24.974,101.48700000000001"
"-","China","29.1832","120.0934","1","1","1","1","1","1","1","1","1","29.1832,120.0934"
"-","Colombia","4.5709","-74.2973","21615","21611","22053","22275","22518","22734","22924","23123","23123","4.5709,-74.2973"
"-","Comoros","-11.6455","43.3333","7","7","7","7","7","7","7","7","7","-11.6455,43.3333"
"-","Congo (Brazzaville)","-0.228","15.8277","102","114","114","83","88","88","88","88","88","-0.228,15.8277"
"-","Congo (Kinshasa)","-4.0383","21.7587","260","260","260","262","262","262","264","264","264","-4.0383,21.7587"
"-","Costa Rica","9.7489","-83.7534","510","531","543","567","583","590","590","621","621","9.7489,-83.7534"
"-","Cote d'Ivoire","7.54","-5.5471","119","119","119","119","119","119","120","120","120","7.54,-5.5471"
"-","Croatia","45.1","15.2","201","203","206","208","211","218","224","227","227","45.1,15.2"
"-","Cuba","21.521757","-77.78116700000002","102","104","104","106","106","108","108","108","108","21.521757,-77.78116700000002"
"-","Cyprus","35.1264","33.4299","22","22","22","22","22","22","22","22","22","35.1264,33.4299"
