"Province/State","Country/Region","Lat","Long","Recent Data","Location"
"-","Ethiopia","9.145","40.4897","27085","9.145,40.4897"
"-","Fiji","-17.7134","178.065","26","-17.7134,178.065"
"-","Finland","61.92411","25.748151","7700","61.92411,25.748151"
"-","France","3.9339","-53.1258","9267","3.9339,-53.1258"
"-","France","-17.6797","149.4068","672","-17.6797,149.4068"
"-","France","16.265","-61.551","837","16.265,-61.551"
"-","France","14.6415","-61.0242","98","14.6415,-61.0242"
"-","France","-12.8275","45.166244","2964","-12.8275,45.166244"
"-","France","-20.904305","165.618042","26","-20.904305,165.618042"
"-","France","-21.1151","55.5364","1794","-21.1151,55.5364"
"-","France","17.9","-62.8333","16","17.9,-62.8333"
"-","France","46.8852","-56.3159","5","46.8852,-56.3159"
"-","France","18.0708","-63.0501","206","18.0708,-63.0501"
"-","France","46.2276","2.2137","75880","46.2276,2.2137"
"-","Gabon","-0.8037","11.6094","7827","-0.8037,11.6094"
"-","Gambia","13.4432","-15.3101","1951","13.4432,-15.3101"
"-","Georgia","42.3154","43.3569","1422","42.3154,43.3569"
"-","Germany","51.165691","10.451526","238437","51.165691,10.451526"
"-","Ghana","7.9465","-1.0232","44896","7.9465,-1.0232"
"-","Greece","39.0742","21.8243","1347","39.0742,21.8243"
"-","Grenada","12.1165","-61.679","24","12.1165,-61.679"
"-","Guatemala","15.7835","-90.2308","73260","15.7835,-90.2308"
"-","Guinea","9.9456","-9.6966","9612","9.9456,-9.6966"
"-","Guinea-Bissau","11.8037","-15.1804","1127","11.8037,-15.1804"
"-","Guyana","4.860416000000002","-58.93018000000001","1302","4.860416000000002,-58.93018000000001"
"-","Haiti","18.9712","-72.2852","6315","18.9712,-72.2852"
"-","Holy See","41.9029","12.4534","12","41.9029,12.4534"
"-","Honduras","15.2","-86.2419","20677","15.2,-86.2419"
"-","Hungary","47.1625","19.5033","4227","47.1625,19.5033"
"-","Iceland","64.9631","-19.0208","2112","64.9631,-19.0208"
"-","India","20.593684","78.96288","4025079","20.593684,78.96288"
"-","Indonesia","-0.7893","113.9213","166686","-0.7893,113.9213"
"-","Iran","32.427908","53.68804599999999","353848","32.427908,53.68804599999999"
"-","Iraq","33.223191","43.679291","241100","33.223191,43.679291"
"-","Ireland","53.1424","-7.6921","23364","53.1424,-7.6921"
"-","Israel","31.046051","34.851612","126329","31.046051,34.851612"
"-","Italy","41.87194","12.56738","215954","41.87194,12.56738"
"-","Jamaica","18.1096","-77.2975","1225","18.1096,-77.2975"
"-","Japan","36.204824","138.252924","68827","36.204824,138.252924"
"-","Jordan","31.24","36.51","2415","31.24,36.51"
"-","Kazakhstan","48.0196","66.9237","101610","48.0196,66.9237"
"-","Kenya","-0.0236","37.9062","23611","-0.0236,37.9062"
"-","Korea, South","35.90775700000001","127.766922","19771","35.90775700000001,127.766922"
"-","Kosovo","42.602636","20.902977","8788","42.602636,20.902977"
"-","Kuwait","29.31166","47.481766","87911","29.31166,47.481766"
"-","Kyrgyzstan","41.20438","74.766098","41317","41.20438,74.766098"
"-","Laos","19.85627","102.495496","22","19.85627,102.495496"
"-","Latvia","56.8796","24.6032","1248","56.8796,24.6032"
"-","Lebanon","33.8547","35.8623","10217","33.8547,35.8623"
"-","Lesotho","-29.61","28.2336","687","-29.61,28.2336"
"-","Liberia","6.4280550000000005","-9.429499","1214","6.4280550000000005,-9.429499"
"-","Libya","26.3351","17.228331","13908","26.3351,17.228331"
"-","Liechtenstein","47.14","9.55","108","47.14,9.55"
"-","Lithuania","55.1694","23.8813","2149","55.1694,23.8813"
"-","Luxembourg","49.8153","6.1296","6641","49.8153,6.1296"
"-","MS Zaandam","0.0","0.0","0","0.0,0.0"
"-","Madagascar","-18.766947","46.869107","14547","-18.766947,46.869107"
"-","Malawi","-13.2543","34.3015","4000","-13.2543,34.3015"
"-","Malaysia","4.210483999999999","101.975766","9250","4.210483999999999,101.975766"
"-","Maldives","3.2028","73.2207","8033","3.2028,73.2207"
