"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","United Kingdom","54.2361","-4.5481","337","337","337","337","337","337","337","339","339","54.2361,-4.5481"
"-","United Kingdom","16.742498","-62.187366","13","13","13","13","13","13","13","13","13","16.742498,-62.187366"
"-","United Kingdom","21.694","-71.7979","599","614","628","638","641","641","646","648","648","21.694,-71.7979"
"-","United Kingdom","55.3781","-3.436","350100","352560","355219","358138","361677","365174","368504","371125","371125","55.3781,-3.436"
"-","Uruguay","-32.5228","-55.7658","1693","1712","1741","1759","1773","1780","1808","1812","1812","-32.5228,-55.7658"
"-","Uzbekistan","41.377491","64.585262","43893","44281","44930","45473","46160","46721","47287","47836","47836","41.377491,64.585262"
"-","Venezuela","6.4238","-66.5897","54350","55563","56751","57823","58663","59630","60540","61569","61569","6.4238,-66.5897"
"-","Vietnam","14.058324","108.277199","1049","1054","1059","1059","1060","1060","1063","1063","1063","14.058324,108.277199"
"-","West Bank and Gaza","31.9522","35.2332","26779","27363","27919","28664","29256","29906","30574","31362","31362","31.9522,35.2332"
"-","Western Sahara","24.2155","-12.8858","10","10","10","10","10","10","10","10","10","24.2155,-12.8858"
"-","Yemen","15.552727","48.516388","1989","1994","1999","2003","2007","2009","2011","2013","2013","15.552727,48.516388"
"-","Zambia","-13.133897","27.849332","12836","12952","13112","13214","13323","13466","13539","13720","13720","-13.133897,27.849332"
"-","Zimbabwe","-19.015438","29.154857","7298","7388","7429","7453","7479","7508","7526","7531","7531","-19.015438,29.154857"
