"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","Recent Data","Location"
"-","Thailand","15.0","101.0","0","0","0","0","2","2","5","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","12","12","12","14","15","15","15","15","17","17","21","21","22","22","22","28","28","28","31","31","31","31","31","31","31","31","33","34","34","35","35","35","35","41","42","42","42","42","44","44","44","15.0,101.0"
"-","Japan","36.0","138.0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","9","9","9","9","12","12","12","13","18","18","22","22","22","22","22","22","22","22","32","32","32","43","43","43","46","76","76","76","101","118","118","118","118","118","144","144","144","150","191","232","235","235","235","36.0,138.0"
"-","Singapore","1.2833","103.8333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","9","15","15","17","18","18","24","29","34","34","37","37","51","51","53","62","62","62","72","72","78","78","78","78","78","78","78","78","78","96","96","97","105","105","109","114","114","114","124","140","144","144","144","1.2833,103.8333"
"-","Nepal","28.1667","84.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","28.1667,84.25"
"-","Malaysia","2.5","112.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","3","3","3","7","7","7","13","15","15","15","15","15","18","18","18","18","18","18","18","18","22","22","22","22","23","24","24","24","26","26","26","35","42","42","49","60","75","87","114","139","139","139","2.5,112.5"
"-","Canada","49.2827","-123.1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","49.2827,-123.1207"
"-","Australia","-33.8688","151.2093","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","-33.8688,151.2093"
"-","Australia","-37.8136","144.9631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","70","70","70","-37.8136,144.9631"
"-","Australia","-28.0167","153.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","-28.0167,153.4"
"-","Cambodia","11.55","104.9167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","11.55,104.9167"
"-","Sri Lanka","7.0","81.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","3","3","3","7.0,81.0"
"-","Germany","51.0","9.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","12","12","12","14","14","14","14","14","15","16","16","16","16","16","16","16","16","17","18","18","18","18","25","25","46","46","46","67","67","105","113","180","233","266","266","266","51.0,9.0"
